pickup hour,average fare
0,11.679414932351158
1,11.412953006344033
2,11.395443641845233
3,11.855744663986892
4,13.589357875607652
5,15.16441417473009
6,12.17093333494855
7,10.985532655242976
8,10.946023019737236
9,10.895048451318473
10,10.921535303815574
11,11.139077328456032
12,11.125208309978625
13,11.516919671459206
14,11.868851682905865
15,11.96774889861278
16,11.881363615841913
17,11.496349912161024
18,10.91246806014982
19,10.555794218119157
20,10.741249235653347
21,11.026819830232194
22,11.333992192576055
23,11.61613478908502
